"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHER GRADES","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE",
"Summer 2016","4165","NS2","Non Standard Session 2","LAW","LAW-B","531","4353","","Gjerdingen,Donald H.","24","25","3.304","3.304","100","16.7","83.3","0","0","1","0","1","3","15","4","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","09-16-2016",
"Summer 2016","4165","NS1","Non Standard Session 1","LAW","LAW-B","639","15187","","Trumbo,Michelle Marie","10","11","3.71","3.334","100","90","0","10","0","1","1","6","2","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","09-16-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","513","10798","","Conkle,Daniel O.","63","67","3.311","3.346","100","31.7","66.7","1.6","0","4","0","5","15","23","12","7","1","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","513","11014","","Williams,David Clair","44","45","3.309","3.305","100","29.5","70.5","0","0","1","0","6","7","16","8","7","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","513","5191","","Sanders,Steve","54","55","3.304","3.294","98.2","20.4","79.6","0","0","1","1","2","8","28","13","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","519","30953","","Fisher,Thomas Molnar","12","15","3.525","3.437","100","50","50","0","0","3","0","2","4","5","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","521","8194","","Stake,Jeffrey E.","81","83","3.305","3.317","100","33.3","64.2","2.5","0","2","0","3","24","27","19","6","2","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","521","9673","","Krishnan,Jayanth K","79","81","3.29","3.307","100","32.9","62","5.1","0","2","0","3","23","27","17","5","4","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","526","30955","","Lederman,Leandra","12","14","3.533","3.397","100","58.3","41.7","0","0","2","0","3","4","2","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","532","30957","","Castanias,Gregory Andrew","9","10","3.511","3.38","100","44.4","55.6","0","0","1","0","3","1","3","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","534","14628","","Lanham,Alexis D","63","67","3.246","3.417","100","28.6","68.3","1.6","0","5","2","4","12","24","11","8","1","0","0","0","0","0","1","0","2","0","0","0","0","0","0","2","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","537","30959","","Prusak,Jennifer Sarah","6","7","4","3.563","100","100","0","0","0","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","540","30960","","Istrabadi,Feisal Amin","10","10","3.51","3.474","100","60","40","0","0","0","0","2","4","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","543","11933","","Daghe,Laura B.","22","22","3.295","3.315","100","40.9","54.5","4.5","0","0","0","1","8","5","4","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","543","30936","","Goodman,Sophia C.","22","22","3.295","3.329","100","36.4","63.6","0","0","0","0","0","8","6","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","543","5192","","Downey,Robert Edmund","22","22","3.295","3.287","100","36.4","63.6","0","0","0","0","1","7","6","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","543","5193","","Goodman,Sophia C.","21","22","3.305","3.313","100","33.3","66.7","0","0","1","0","2","5","6","5","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","543","5194","","Lahn,Seth Michael","23","23","3.304","3.256","100","34.8","60.9","4.3","0","0","0","0","8","9","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","543","5195","","Daghe,Laura B.","22","22","3.291","3.313","100","36.4","59.1","4.5","0","0","0","1","7","7","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","543","5197","","Downey,Robert Edmund","22","22","3.305","3.32","100","36.4","59.1","4.5","0","0","0","1","7","7","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","544","14635","","Mattioli,Michael","9","9","3.589","3.357","100","55.6","44.4","0","0","0","0","3","2","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","549","11221","","Leaffer,Marshall Allin","27","32","3.73","3.619","100","74.1","25.9","0","0","5","0","12","8","7","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","558","7514","","Weeks,W. William","11","12","3.809","3.424","100","100","0","0","0","1","0","4","7","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","559","9674","","Gandy,Kenneth Allen","9","10","3.556","3.367","100","55.6","44.4","0","0","1","0","2","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","561","7841","","Need,Mark E","7","7","3.9","3.38","100","85.7","14.3","0","0","0","2","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","564","15481","","Rosiello,Michael","16","17","3.669","3.475","93.8","68.8","31.3","0","0","1","0","5","6","5","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","564","33898","","Boshkoff,Ellen Elizabeth","9","11","3.633","3.481","100","66.7","33.3","0","0","2","0","2","4","3","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","567","9849","","Meitus,Robert Shannon","6","6","3.85","3.329","100","100","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","568","10377","","Matthews,Catherine LeAnn","22","22","3.65","3.394","100","77.3","22.7","0","0","0","0","3","14","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","569","30966","","Purcell,Philip Monroe","27","28","3.622","3.431","100","74.1","18.5","7.4","0","1","2","9","9","4","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","570","7044","","Gjerdingen,Donald H.","14","19","3.793","3.641","100","85.7","14.3","0","0","5","0","7","5","2","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","574","14648","","Delaney,David George","13","16","3.669","3.433","85.7","69.2","30.8","0","0","3","2","2","5","4","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","582","12375","","Greene,David Elsworth","7","10","3.686","3.504","100","85.7","14.3","0","0","3","0","2","4","0","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","582","15485","","Greene,David Elsworth","16","19","3.7","3.402","100","81.3","18.8","0","0","3","0","4","9","3","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","588","5198","","Conrad,Stephen A.","10","10","3.94","3.578","100","100","0","0","0","0","0","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","595","9331","","Barnes,A James","9","10","3.744","3.392","100","77.8","22.2","0","0","1","0","4","3","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","601","14229","","Bell,Jeannine","44","48","3.32","3.365","97.8","34.1","65.9","0","0","4","0","2","13","15","9","5","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","604","16012","","Goodwin,Gabrielle Lynn","6","7","3.483","3.626","100","33.3","66.7","0","0","1","0","1","1","4","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","606","14654","","Sanders,Steve","26","28","3.296","3.43","100","30.8","69.2","0","0","2","0","2","6","8","7","3","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","614","12579","","Pruden,Seth Thomas","25","28","3.452","3.556","100","44","56","0","0","3","1","7","3","4","10","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","614","5200","","Henderson,William","50","50","3.406","3.298","100","40","60","0","0","0","0","7","13","16","12","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","614","7021","","Lanham,Alexis D","56","56","3.405","3.296","100","41.1","58.9","0","0","0","0","8","15","16","15","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","614","9847","","Lanham,Alexis D","51","52","3.406","3.319","100","41.2","58.8","0","0","1","0","5","16","15","15","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","615","11433","","Stake,Jeffrey E.","23","23","3.296","3.389","100","34.8","65.2","0","0","0","0","1","7","5","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","620","32758","","Lanham,Alexis D","20","20","3.505","3.543","100","40","60","0","0","0","0","3","5","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","620","9482","","Lanham,Alexis D","18","20","3.717","3.389","100","83.3","16.7","0","0","2","0","5","10","3","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","623","30969","","Hughes,Sarah Jane","22","24","3.382","3.388","100","40.9","59.1","0","0","2","0","0","9","9","2","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","639","14072","","Buckley,Keith Allen","37","38","3.77","3.44","100","81.1","18.9","0","0","1","6","18","6","3","2","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","645","5201","","Gjerdingen,Donald H.","51","54","3.335","3.391","100","23.5","76.5","0","0","3","0","4","8","25","14","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","650","5202","","Lederman,Leandra","41","46","3.305","3.444","100","39","56.1","4.9","0","5","0","3","13","10","9","4","2","0","0","0","0","0","0","0","4","0","0","0","0","0","0","1","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","653","5203","","Fletcher,Gina-Gail S.","59","62","3.185","3.386","100","28.8","62.7","6.8","0","4","0","4","13","18","14","5","3","1","0","0","0","0","1","0","2","0","0","0","0","0","0","1","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","656","30970","","Broughman,Brian Jeffrey","53","56","3.315","3.386","100","26.4","73.6","0","0","3","2","1","11","26","7","6","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","661","10800","","Cripps,Yvonne","12","13","3.875","3.475","100","100","0","0","0","1","3","4","5","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","662","30971","","Leaffer,Marshall Allin","25","31","3.688","3.43","100","76","24","0","0","6","0","7","12","6","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","665","30975","","Fidler,David Paul","12","19","3.492","3.506","100","41.7","58.3","0","0","7","0","2","3","6","1","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","1","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","671","33333","","Orenstein,Sylvia","15","15","3.44","3.271","100","80","13.3","0","0","1","0","5","7","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","672","5204","","Foohey,Pamela","87","93","3.3","3.461","100","28.7","70.1","1.1","0","6","0","8","17","33","18","10","1","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","678","14688","","Brown,Kevin D.","17","19","3.688","3.278","100","70.6","29.4","0","0","2","2","4","6","5","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","680","12292","","Widiss,Deborah Anne","23","25","3.313","3.504","100","26.1","73.9","0","0","2","0","0","6","10","7","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","691","8197","","Applegate,Amy","6","6","3.95","3.355","100","100","0","0","0","0","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","706","5211","","Matthews,Catherine LeAnn","8","14","3.8","3.547","100","87.5","12.5","0","0","6","0","5","2","0","1","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","706","5212","","Matthews,Catherine LeAnn","7","11","3.671","3.397","100","71.4","28.6","0","0","4","0","4","1","1","0","1","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","706","5213","","Matthews,Catherine LeAnn","8","12","3.925","3.506","100","100","0","0","0","4","0","6","2","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","707","16103","","Matthews,Catherine LeAnn","6","7","4","3.415","100","100","0","0","0","1","0","6","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","NON","Non Standard Session","LAW","LAW-B","708","35587","","Lanham,Alexis D","12","14","3.633","3.54","100","58.3","41.7","0","0","2","0","4","3","5","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","709","11435","","Need,Mark E","18","19","3.617","3.397","100","66.7","33.3","0","0","1","2","4","6","3","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","709","12105","","Lanham,Alexis D","11","16","3.391","3.396","100","45.5","45.5","9.1","0","5","0","3","2","3","1","1","1","0","0","0","0","0","0","0","3","1","0","0","0","0","0","1","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","709","32434","","Riffle,Timothy John","12","18","3.808","3.36","100","83.3","16.7","0","0","6","0","7","3","2","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","710","5219","","Matthews,Catherine LeAnn","12","12","3.75","3.333","91.7","83.3","8.3","8.3","0","0","1","8","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","710","5220","","Matthews,Catherine LeAnn","12","14","3.758","3.154","100","83.3","16.7","0","0","2","0","6","4","1","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","713","14694","","Aman Jr,Alfred C","33","37","3.324","3.445","100","33.3","66.7","0","0","4","0","3","8","12","5","5","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","714","16011","","Henderson,William","20","21","3.89","3.367","100","95","5","0","0","1","0","14","5","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","719","13043","","Dau-Schmidt,Kenneth Glenn","40","42","3.303","3.415","100","37.5","57.5","5","0","2","0","1","14","12","9","2","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","720","15488","","Cook,Jessie Ann","10","10","3.85","3.342","100","100","0","0","0","0","1","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","720","33899","","Diekhoff,Mary Ellen","9","9","3.867","3.323","100","100","0","0","0","0","0","5","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","722","10402","","Brown,Elaine Marie Becher","11","12","3.309","3.255","100","63.6","27.3","0","0","2","0","4","3","2","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","722","11156","","Diekhoff,Mary Ellen","12","12","3.875","3.525","100","100","0","0","0","0","0","7","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","722","5222","","Kellams,Marc Reed","12","12","3.775","3.377","100","100","0","0","0","0","0","3","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","722","8673","","","12","12","3.7","3.407","100","75","25","0","0","0","0","4","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","722","9850","","","12","12","3.567","3.491","100","41.7","58.3","0","0","0","0","4","1","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","723","9333","","Lanham,Alexis D","67","72","3.31","3.419","100","28.4","71.6","0","0","5","0","9","10","21","22","5","0","0","0","0","0","0","0","0","4","1","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","727","13046","","Nagy,Donna M","23","27","3.357","3.305","100","30.4","69.6","0","0","4","0","4","3","9","5","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","729","33651","","Nagy,Csongor Istvan","6","9","4","3.543","100","100","0","0","0","3","4","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","733","9675","","Scott,Ryan W.","14","16","3.286","3.383","100","50","42.9","0","0","3","0","3","4","4","2","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","738","30981","","Fidler,David Paul","13","18","3.408","3.366","93.3","38.5","61.5","0","0","5","0","2","3","4","4","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","2","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","739","30982","","Morrison,Timothy Marshall","36","42","3.344","3.462","100","19.4","80.6","0","0","6","0","2","5","23","6","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","2","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","740","9531","","Retzner,Rodney Scott","18","19","3.561","3.321","100","61.1","38.9","0","0","1","3","3","5","4","1","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","745","14708","","Buxbaum,Hannah","25","29","3.372","3.549","100","36","64","0","0","4","1","4","4","7","7","2","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","749","30983","","O'Bryan,Rory","18","23","3.589","3.378","100","55.6","44.4","0","0","5","0","7","3","5","3","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","1","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","751","12640","","Du Mont,Jason John","19","21","3.595","3.289","100","57.9","42.1","0","0","2","0","9","2","5","1","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","756","30984","","Brown,Kevin D.","8","9","3.85","3.361","87.5","100","0","0","0","1","0","4","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","759","33337","","Nagy,Csongor Istvan","16","23","3.944","3.457","100","100","0","0","0","7","9","4","3","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","760","5225","","Conrad,Stephen A.","14","19","3.671","3.34","100","71.4","28.6","0","0","5","1","5","4","2","2","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","768","30985","","Fischman,Robert L","11","11","3.291","3.299","100","27.3","63.6","9.1","0","0","1","2","0","4","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","771","32976","","Stafford,Catherine Berg","18","21","3.761","3.472","94.7","77.8","22.2","0","0","3","0","9","5","4","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","771","9483","","O Connor III,Joseph Daniel","19","19","3.805","3.46","100","78.9","21.1","0","0","0","0","12","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","786","12639","","Bell,Jeannine","19","19","3.442","3.272","100","47.4","52.6","0","0","0","0","1","8","8","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","788","32975","","Kelley,Matthew James","12","16","3.767","3.495","100","91.7","8.3","0","0","4","0","4","7","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-B","789","30986","","Williams,Susan H.","14","15","3.457","3.413","100","50","50","0","0","1","0","3","4","3","3","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-L","636","14727","","Aman Jr,Alfred C","7","8","3.814","3.51","100","85.7","14.3","0","0","1","0","4","2","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-L","684","30988","","Williams,Susan H.","11","15","3.727","3.561","100","72.7","27.3","0","0","4","1","5","2","2","1","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-L","690","30990","","Fletcher,Gina-Gail S.","13","14","3.492","3.312","100","53.8","46.2","0","0","1","0","3","4","3","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-L","713","13058","","Dau-Schmidt,Kenneth Glenn","20","24","3.645","3.434","100","75","25","0","0","4","0","3","12","5","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","1","0","06-10-2016",
"Spring 2016","4162","1","Regular Academic Session","LAW","LAW-L","714","14221","","Geyh,Charles Gardner","20","20","3.63","3.38","100","75","25","0","0","0","0","6","9","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-10-2016",
